advertiserName;date;creativeType;deviceCategoryName;totalLineItemLevelImpressions;totalLineItemLevelClicks;totalLineItemLevelCtr;clickThroughConversions;viewThroughConversions
Cliente 1;22/06/2023;Custom template;Desktop;3208;61;0,01901;52;342
Cliente 1;22/06/2023;Programmatic;SmartTV;32109;294;0,00916;101;109
Cliente 1;22/06/2023;Video creative sets;Smartphone;23001;334;0,01452;309;126
Cliente 1;22/06/2023;Third-party;Tablet;13394;234;0,01747;18;122
Cliente 1;22/06/2023;Custom template;Desktop;29488;253;0,00858;235;66
Cliente 1;22/06/2023;Image;Smartphone;27870;81;0,00291;47;449
Cliente 1;22/06/2023;Image;Smartphone;12008;353;0,02940;338;244
Cliente 1;22/06/2023;HTML5;SmartTV;41990;165;0,00393;61;88
Cliente 1;22/06/2023;Image;Smartphone;37755;242;0,00641;76;144
Cliente 1;22/06/2023;HTML5;Desktop;46602;450;0,00966;84;9
Cliente 1;22/06/2023;Third-party;Tablet;48245;438;0,00908;219;238
Cliente 1;22/06/2023;HTML5;Desktop;29339;393;0,01340;338;444
Cliente 1;22/06/2023;Video creative sets;Tablet;30844;352;0,01141;251;38
Cliente 1;22/06/2023;Custom template;Smartphone;28812;185;0,00642;115;203
Cliente 1;22/06/2023;Video creative sets;SmartTV;12877;405;0,03145;318;422
Cliente 1;22/06/2023;Third-party;Tablet;41357;153;0,00370;32;323
Cliente 1;22/06/2023;Custom template;Tablet;2692;46;0,01709;40;304
Cliente 1;22/06/2023;HTML5;Smartphone;34186;128;0,00374;24;364
Cliente 1;22/06/2023;Third-party;Desktop;39658;77;0,00194;39;351
Cliente 1;22/06/2023;Custom;Desktop;12799;80;0,00625;17;461
Cliente 1;23/06/2023;Custom;Smartphone;7262;31;0,00427;3;413
Cliente 1;23/06/2023;HTML5;SmartTV;9288;240;0,02584;148;178
Cliente 1;23/06/2023;Image;Tablet;9421;274;0,02908;146;494
Cliente 1;23/06/2023;HTML5;Tablet;24116;364;0,01509;72;334
Cliente 1;23/06/2023;DoubleClick Rich Media;SmartTV;10459;419;0,04006;98;35
Cliente 1;23/06/2023;HTML5;Tablet;49028;53;0,00108;26;280
Cliente 1;23/06/2023;DoubleClick Rich Media;SmartTV;45211;267;0,00591;244;476
Cliente 1;23/06/2023;Video creative sets;Desktop;22106;293;0,01325;66;373
Cliente 1;23/06/2023;Programmatic;Desktop;31137;10;0,00032;9;371
Cliente 1;23/06/2023;Custom template;Tablet;41141;135;0,00328;96;104
Cliente 1;23/06/2023;Other;SmartTV;43696;74;0,00169;58;349
Cliente 1;23/06/2023;HTML5;Smartphone;17432;189;0,01084;83;27
Cliente 1;23/06/2023;Image;Desktop;25215;468;0,01856;218;336
Cliente 1;23/06/2023;Third-party;SmartTV;31871;452;0,01418;439;370
Cliente 1;23/06/2023;DoubleClick Rich Media;Desktop;27810;147;0,00529;84;204
Cliente 1;23/06/2023;DoubleClick Rich Media;Desktop;27198;104;0,00382;65;135
Cliente 1;23/06/2023;Custom template;Tablet;2398;470;0,19600;417;441
Cliente 1;23/06/2023;Custom template;Smartphone;12155;35;0,00288;24;487
Cliente 1;23/06/2023;Image;SmartTV;20324;311;0,01530;53;228
Cliente 1;23/06/2023;Video creative sets;Tablet;32949;363;0,01102;269;305
Cliente 1;23/06/2023;Programmatic;Smartphone;28197;265;0,00940;199;137
Cliente 1;23/06/2023;Video creative sets;Smartphone;35176;387;0,01100;62;11
Cliente 1;23/06/2023;Programmatic;Smartphone;3800;317;0,08342;277;372
Cliente 1;23/06/2023;DoubleClick Rich Media;Tablet;9943;389;0,03912;47;335
Cliente 1;23/06/2023;Custom;Smartphone;40039;172;0,00430;94;281
Cliente 1;23/06/2023;DoubleClick Rich Media;Smartphone;17173;2;0,00012;1;256
Cliente 1;23/06/2023;DoubleClick Rich Media;Tablet;16858;128;0,00759;78;193
Cliente 1;23/06/2023;Custom template;Smartphone;27534;296;0,01075;105;70
Cliente 1;23/06/2023;HTML5;Desktop;19295;401;0,02078;140;268
Cliente 1;23/06/2023;Third-party;Desktop;16581;251;0,01514;228;300
Cliente 1;23/06/2023;Third-party;Smartphone;8126;26;0,00320;18;52
Cliente 1;23/06/2023;Image;Tablet;31412;407;0,01296;323;76
Cliente 1;23/06/2023;Image;Smartphone;36836;63;0,00171;7;28
Cliente 1;23/06/2023;Image;SmartTV;28885;225;0,00779;42;155
Cliente 1;23/06/2023;Image;SmartTV;31809;46;0,00145;43;469
Cliente 1;23/06/2023;Programmatic;Desktop;7188;161;0,02240;159;249
Cliente 1;23/06/2023;Custom;SmartTV;49633;326;0,00657;319;111
Cliente 1;23/06/2023;Image;Tablet;17763;133;0,00749;114;8
Cliente 1;23/06/2023;Image;Smartphone;9898;220;0,02223;8;298
Cliente 1;23/06/2023;Programmatic;Tablet;18630;274;0,01471;217;421
Cliente 1;23/06/2023;Programmatic;Desktop;43249;346;0,00800;147;159
Cliente 1;23/06/2023;Custom;SmartTV;19248;332;0,01725;132;326
Cliente 1;23/06/2023;Image;Desktop;42281;283;0,00669;223;455
Cliente 1;23/06/2023;HTML5;SmartTV;28255;133;0,00471;88;102
Cliente 1;23/06/2023;DoubleClick Rich Media;Tablet;21751;139;0,00639;115;136
Cliente 1;23/06/2023;Video creative sets;Tablet;12117;484;0,03994;257;198
Cliente 1;23/06/2023;Video creative sets;Desktop;11668;253;0,02168;12;478
Cliente 1;23/06/2023;Video creative sets;Desktop;36465;464;0,01272;213;408
Cliente 1;23/06/2023;DoubleClick Rich Media;Desktop;9149;295;0,03224;88;241
Cliente 1;23/06/2023;Custom template;Tablet;8083;256;0,03167;110;341
Cliente 1;23/06/2023;Custom template;Tablet;25028;336;0,01342;279;255
Cliente 1;23/06/2023;Programmatic;Smartphone;12618;395;0,03130;152;431
Cliente 1;23/06/2023;Other;Tablet;12197;360;0,02952;157;482
Cliente 1;23/06/2023;Other;Smartphone;27581;249;0,00903;54;301
Cliente 1;23/06/2023;Third-party;SmartTV;45962;346;0,00753;264;124
Cliente 1;23/06/2023;Video creative sets;SmartTV;19626;406;0,02069;331;391
Cliente 1;23/06/2023;Custom;Smartphone;22054;420;0,01904;154;6
Cliente 1;23/06/2023;Video creative sets;Desktop;43071;468;0,01087;372;309
Cliente 1;23/06/2023;HTML5;Desktop;11870;154;0,01297;149;157
Cliente 1;23/06/2023;HTML5;Smartphone;6181;183;0,02961;17;24
Cliente 1;23/06/2023;DoubleClick Rich Media;Tablet;45233;279;0,00617;170;182
Cliente 1;23/06/2023;DoubleClick Rich Media;Desktop;9762;118;0,01209;47;11
Cliente 1;23/06/2023;Other;SmartTV;48533;41;0,00084;33;331
Cliente 1;23/06/2023;DoubleClick Rich Media;Desktop;17925;232;0,01294;158;149
Cliente 1;23/06/2023;DoubleClick Rich Media;Smartphone;19413;89;0,00458;42;487
Cliente 1;23/06/2023;Video creative sets;SmartTV;13821;61;0,00441;46;472
Cliente 1;23/06/2023;DoubleClick Rich Media;Smartphone;11197;221;0,01974;87;21
Cliente 1;23/06/2023;Programmatic;SmartTV;48739;386;0,00792;340;194
Cliente 1;23/06/2023;Video creative sets;Smartphone;5801;182;0,03137;111;377
Cliente 1;23/06/2023;HTML5;Smartphone;34783;379;0,01090;324;46
Cliente 1;23/06/2023;Custom;SmartTV;1765;49;0,02776;5;370
Cliente 1;23/06/2023;Custom template;SmartTV;46262;15;0,00032;3;492
Cliente 1;23/06/2023;Video creative sets;Smartphone;43936;196;0,00446;159;285
Cliente 1;23/06/2023;Image;SmartTV;48608;479;0,00985;36;169
Cliente 1;23/06/2023;Third-party;Tablet;35236;230;0,00653;23;482
Cliente 1;23/06/2023;Programmatic;Tablet;29123;139;0,00477;138;231
Cliente 1;23/06/2023;Custom template;SmartTV;25864;389;0,01504;131;335
Cliente 1;23/06/2023;Other;Desktop;49280;172;0,00349;101;343
Cliente 1;23/06/2023;Custom;Tablet;11425;400;0,03501;282;499
Cliente 1;23/06/2023;Image;Desktop;39755;292;0,00734;288;288
Cliente 1;23/06/2023;Other;SmartTV;10325;27;0,00262;27;456
Cliente 1;23/06/2023;Other;Desktop;10521;241;0,02291;200;387
Cliente 1;23/06/2023;DoubleClick Rich Media;SmartTV;20777;204;0,00982;78;300
Cliente 1;23/06/2023;Image;Tablet;37892;253;0,00668;73;391
Cliente 1;23/06/2023;DoubleClick Rich Media;Smartphone;18964;480;0,02531;190;321
Cliente 1;23/06/2023;Other;SmartTV;39538;62;0,00157;18;389
Cliente 1;23/06/2023;Other;Desktop;78;268;3,43590;142;348
Cliente 1;24/06/2023;Custom template;Desktop;43827;356;0,00812;189;471
Cliente 1;24/06/2023;HTML5;Tablet;18037;462;0,02561;243;166
Cliente 1;24/06/2023;Image;Tablet;39540;255;0,00645;129;25
Cliente 1;24/06/2023;DoubleClick Rich Media;Desktop;2843;172;0,06050;97;261
Cliente 1;24/06/2023;Other;Tablet;40144;243;0,00605;236;94
Cliente 1;24/06/2023;HTML5;Tablet;1490;125;0,08389;117;355
Cliente 1;24/06/2023;DoubleClick Rich Media;Tablet;2111;66;0,03126;24;234
Cliente 1;24/06/2023;Image;Desktop;11334;62;0,00547;3;25
Cliente 1;24/06/2023;Video creative sets;Desktop;26570;218;0,00820;6;476
Cliente 1;24/06/2023;DoubleClick Rich Media;Tablet;22685;39;0,00172;4;335
Cliente 1;24/06/2023;Custom;Smartphone;2426;94;0,03875;71;143
Cliente 1;24/06/2023;Custom;Smartphone;23194;190;0,00819;160;24
Cliente 1;24/06/2023;Image;Tablet;11365;246;0,02165;66;210
Cliente 1;24/06/2023;Video creative sets;Desktop;9264;374;0,04037;9;476
Cliente 1;24/06/2023;Video creative sets;Desktop;578;215;0,37197;93;402
Cliente 1;24/06/2023;Custom template;Desktop;25639;139;0,00542;91;273
Cliente 1;24/06/2023;Video creative sets;Desktop;10319;463;0,04487;399;224
Cliente 1;24/06/2023;HTML5;Smartphone;35962;457;0,01271;410;74
Cliente 1;24/06/2023;Other;Smartphone;40200;194;0,00483;153;420
Cliente 1;24/06/2023;Image;Desktop;41105;126;0,00307;111;19
Cliente 1;24/06/2023;HTML5;Tablet;5928;134;0,02260;92;340
Cliente 1;24/06/2023;Other;SmartTV;8217;89;0,01083;44;280
Cliente 1;24/06/2023;Custom template;Tablet;6916;35;0,00506;16;65
Cliente 1;24/06/2023;Programmatic;SmartTV;19172;428;0,02232;349;376
Cliente 1;24/06/2023;Other;Desktop;20564;54;0,00263;30;435
Cliente 1;24/06/2023;Video creative sets;Desktop;34264;225;0,00657;87;125
Cliente 1;24/06/2023;Programmatic;SmartTV;18751;235;0,01253;99;15
Cliente 1;24/06/2023;Custom template;Tablet;5659;382;0,06750;107;452
Cliente 1;24/06/2023;Custom template;Smartphone;17793;177;0,00995;118;43
Cliente 1;24/06/2023;DoubleClick Rich Media;SmartTV;21052;211;0,01002;56;227
Cliente 1;24/06/2023;Custom template;Smartphone;6188;484;0,07822;65;144
Cliente 1;24/06/2023;Custom template;Desktop;1970;434;0,22030;197;221
Cliente 1;24/06/2023;Custom template;SmartTV;47909;105;0,00219;14;279
Cliente 1;24/06/2023;Video creative sets;SmartTV;46520;441;0,00948;367;279
Cliente 1;24/06/2023;Custom;Tablet;12030;499;0,04148;69;263
Cliente 1;24/06/2023;Image;Smartphone;13604;6;0,00044;4;353
Cliente 1;24/06/2023;HTML5;Desktop;38158;276;0,00723;114;69
Cliente 1;24/06/2023;Custom;Smartphone;29753;319;0,01072;167;349
Cliente 1;24/06/2023;Custom template;SmartTV;45733;389;0,00851;247;81
Cliente 1;24/06/2023;Custom;SmartTV;25398;315;0,01240;208;107
Cliente 1;24/06/2023;Image;Tablet;27963;146;0,00522;89;5
Cliente 1;24/06/2023;HTML5;Smartphone;257;239;0,92996;70;240
Cliente 1;24/06/2023;Third-party;Smartphone;16013;139;0,00868;127;102
Cliente 1;24/06/2023;Video creative sets;SmartTV;29645;131;0,00442;25;438
Cliente 1;24/06/2023;Video creative sets;Tablet;35332;111;0,00314;98;143
Cliente 1;24/06/2023;Image;Desktop;409;197;0,48166;119;382
Cliente 1;24/06/2023;Custom;SmartTV;36177;6;0,00017;4;190
Cliente 1;24/06/2023;DoubleClick Rich Media;Desktop;6371;65;0,01020;44;190
Cliente 1;24/06/2023;Third-party;SmartTV;44532;48;0,00108;7;457
Cliente 1;24/06/2023;Image;Smartphone;12371;416;0,03363;231;217
Cliente 1;24/06/2023;Image;Smartphone;5241;477;0,09101;174;438
Cliente 1;24/06/2023;Video creative sets;Desktop;40730;436;0,01070;377;91
Cliente 1;24/06/2023;Video creative sets;Desktop;29964;349;0,01165;134;356
Cliente 1;24/06/2023;Custom template;SmartTV;39636;96;0,00242;90;398
Cliente 1;24/06/2023;Programmatic;SmartTV;41465;227;0,00547;203;284
Cliente 1;24/06/2023;Custom;Desktop;8285;109;0,01316;80;479
Cliente 1;24/06/2023;Custom;Smartphone;26706;266;0,00996;93;381
Cliente 1;24/06/2023;Third-party;Smartphone;38766;413;0,01065;174;175
Cliente 1;24/06/2023;Programmatic;Smartphone;42376;272;0,00642;264;332
Cliente 1;24/06/2023;Custom template;Desktop;9990;309;0,03093;111;475
Cliente 1;24/06/2023;Video creative sets;Desktop;11407;350;0,03068;186;328
Cliente 1;24/06/2023;Image;Tablet;32838;168;0,00512;116;176
Cliente 1;24/06/2023;Other;Desktop;18041;320;0,01774;263;226
Cliente 1;24/06/2023;Video creative sets;Smartphone;21983;82;0,00373;75;70
Cliente 1;24/06/2023;Custom;Smartphone;37701;120;0,00318;15;140
Cliente 1;24/06/2023;Image;Tablet;21250;454;0,02136;362;154
Cliente 1;24/06/2023;Video creative sets;Desktop;27812;341;0,01226;301;249
Cliente 1;24/06/2023;Other;Smartphone;34180;52;0,00152;6;71
Cliente 1;24/06/2023;Programmatic;Tablet;25042;350;0,01398;258;394
Cliente 1;24/06/2023;Third-party;Tablet;27382;326;0,01191;226;107
Cliente 1;24/06/2023;HTML5;Desktop;13430;349;0,02599;200;269
Cliente 1;24/06/2023;Programmatic;Tablet;33585;368;0,01096;354;312
Cliente 1;24/06/2023;Custom;Desktop;3062;391;0,12769;217;195
Cliente 1;24/06/2023;DoubleClick Rich Media;Smartphone;38669;340;0,00879;178;330
Cliente 1;24/06/2023;HTML5;Tablet;21878;373;0,01705;169;50
Cliente 1;24/06/2023;Image;Smartphone;15869;408;0,02571;79;381
Cliente 1;24/06/2023;Custom;Tablet;10928;455;0,04164;420;82
Cliente 1;24/06/2023;Third-party;Tablet;35157;16;0,00046;8;93
Cliente 1;24/06/2023;Third-party;Tablet;49209;363;0,00738;247;373
Cliente 1;24/06/2023;Other;SmartTV;40007;32;0,00080;26;246
Cliente 1;24/06/2023;Third-party;Tablet;31826;22;0,00069;5;3
Cliente 1;24/06/2023;Custom template;SmartTV;38902;205;0,00527;193;473
Cliente 1;24/06/2023;Other;SmartTV;21816;218;0,00999;175;184
Cliente 1;24/06/2023;Image;Smartphone;19850;467;0,02353;346;288
Cliente 1;25/06/2023;Image;Desktop;30225;348;0,01151;326;204
Cliente 1;25/06/2023;Custom template;Tablet;13145;262;0,01993;193;249
Cliente 1;25/06/2023;Third-party;SmartTV;28613;415;0,01450;308;397
Cliente 1;25/06/2023;Custom template;Tablet;13784;176;0,01277;7;124
Cliente 1;25/06/2023;Video creative sets;SmartTV;9409;115;0,01222;75;333
Cliente 1;25/06/2023;DoubleClick Rich Media;Tablet;28191;263;0,00933;113;433
Cliente 1;25/06/2023;Programmatic;Tablet;49961;266;0,00532;250;120
Cliente 1;25/06/2023;HTML5;Tablet;18181;208;0,01144;92;461
Cliente 1;25/06/2023;Video creative sets;Tablet;35665;377;0,01057;117;396
Cliente 1;25/06/2023;Custom;Smartphone;38577;59;0,00153;38;396
Cliente 1;25/06/2023;Video creative sets;Desktop;33916;267;0,00787;228;137
Cliente 1;25/06/2023;Video creative sets;Smartphone;16571;445;0,02685;290;397
Cliente 1;25/06/2023;Third-party;Desktop;23434;292;0,01246;59;382
Cliente 1;25/06/2023;Programmatic;SmartTV;20209;320;0,01583;77;104
Cliente 1;25/06/2023;HTML5;Smartphone;6448;73;0,01132;4;288
Cliente 1;25/06/2023;Image;Smartphone;11058;21;0,00190;21;136
Cliente 1;25/06/2023;Custom;Desktop;19903;388;0,01949;12;57
Cliente 1;25/06/2023;Video creative sets;Desktop;21446;276;0,01287;183;312
Cliente 1;25/06/2023;Video creative sets;Tablet;1312;336;0,25610;303;103
Cliente 1;25/06/2023;Image;Tablet;35368;26;0,00074;26;120
Cliente 1;25/06/2023;DoubleClick Rich Media;Smartphone;35271;480;0,01361;388;489
Cliente 1;25/06/2023;Custom;SmartTV;42302;376;0,00889;281;456
Cliente 1;25/06/2023;Programmatic;Smartphone;19820;261;0,01317;125;30
Cliente 1;25/06/2023;DoubleClick Rich Media;Tablet;49580;69;0,00139;45;48
Cliente 1;25/06/2023;Third-party;Smartphone;4553;124;0,02723;73;148
Cliente 1;25/06/2023;Custom template;Desktop;9811;466;0,04750;402;141
Cliente 1;25/06/2023;HTML5;Smartphone;44949;467;0,01039;390;89
Cliente 1;25/06/2023;Video creative sets;Tablet;9288;428;0,04608;254;301
Cliente 1;25/06/2023;Image;Smartphone;29368;477;0,01624;329;227
Cliente 1;25/06/2023;Custom;Desktop;43267;434;0,01003;215;416
Cliente 1;25/06/2023;HTML5;SmartTV;43264;99;0,00229;78;340
Cliente 1;25/06/2023;Programmatic;SmartTV;29182;117;0,00401;60;275
Cliente 1;25/06/2023;Other;Smartphone;29523;4;0,00014;4;451
Cliente 1;25/06/2023;Third-party;Smartphone;7465;486;0,06510;310;434
Cliente 1;25/06/2023;DoubleClick Rich Media;Desktop;25027;254;0,01015;106;417
Cliente 1;25/06/2023;Image;Desktop;28355;146;0,00515;125;218
Cliente 1;25/06/2023;HTML5;Tablet;28233;436;0,01544;335;453
Cliente 1;25/06/2023;HTML5;SmartTV;23017;194;0,00843;140;178
Cliente 1;25/06/2023;Programmatic;Tablet;6764;312;0,04613;253;277
Cliente 1;25/06/2023;Image;Desktop;19871;357;0,01797;114;327
Cliente 1;25/06/2023;Other;SmartTV;3343;280;0,08376;179;269
Cliente 1;25/06/2023;Image;Tablet;48195;466;0,00967;167;203
Cliente 1;25/06/2023;DoubleClick Rich Media;Smartphone;11952;178;0,01489;117;68
Cliente 1;25/06/2023;Custom;Desktop;12439;117;0,00941;88;194
Cliente 1;25/06/2023;Other;Desktop;28883;300;0,01039;17;275
Cliente 1;25/06/2023;Image;Tablet;32996;31;0,00094;3;141
Cliente 1;25/06/2023;HTML5;Desktop;38023;6;0,00016;4;334
Cliente 1;25/06/2023;Third-party;SmartTV;2822;54;0,01914;19;488
Cliente 1;25/06/2023;HTML5;Tablet;17816;459;0,02576;392;377
Cliente 1;25/06/2023;Custom;Desktop;48206;106;0,00220;41;129
Cliente 1;25/06/2023;HTML5;Desktop;20146;14;0,00069;1;249
Cliente 1;25/06/2023;Programmatic;SmartTV;3565;369;0,10351;10;188
Cliente 1;25/06/2023;Image;Desktop;25239;73;0,00289;17;101
Cliente 1;25/06/2023;Programmatic;Tablet;23955;102;0,00426;50;15
Cliente 1;25/06/2023;HTML5;Desktop;35725;200;0,00560;115;121
Cliente 1;25/06/2023;Video creative sets;SmartTV;2405;2;0,00083;2;192
Cliente 1;25/06/2023;Custom template;Tablet;14648;281;0,01918;89;424
Cliente 1;25/06/2023;Custom;Smartphone;19934;344;0,01726;226;106
Cliente 1;25/06/2023;Video creative sets;SmartTV;34700;407;0,01173;32;366
Cliente 1;25/06/2023;Video creative sets;Smartphone;32555;409;0,01256;359;100
Cliente 1;25/06/2023;Third-party;SmartTV;4897;127;0,02593;103;211
Cliente 1;25/06/2023;HTML5;SmartTV;47275;497;0,01051;214;97
Cliente 1;25/06/2023;DoubleClick Rich Media;Tablet;16614;256;0,01541;142;88
Cliente 1;25/06/2023;Custom template;Tablet;1365;400;0,29304;93;64
Cliente 1;25/06/2023;Image;Smartphone;45548;289;0,00634;8;252
Cliente 1;25/06/2023;Custom template;Tablet;41296;217;0,00525;44;103
Cliente 1;25/06/2023;HTML5;SmartTV;11080;371;0,03348;160;59
Cliente 1;25/06/2023;Custom;Desktop;31490;493;0,01566;56;212
Cliente 1;25/06/2023;DoubleClick Rich Media;SmartTV;36854;55;0,00149;7;176
Cliente 1;25/06/2023;Custom;SmartTV;33087;92;0,00278;31;255
Cliente 1;25/06/2023;Custom template;Smartphone;36673;196;0,00534;20;324
Cliente 1;25/06/2023;HTML5;Smartphone;10152;59;0,00581;24;337
Cliente 1;26/06/2023;Video creative sets;SmartTV;15339;208;0,01356;35;134
Cliente 1;26/06/2023;Custom template;Desktop;46423;193;0,00416;101;487
Cliente 1;26/06/2023;Video creative sets;Tablet;39749;62;0,00156;44;97
Cliente 1;26/06/2023;Image;SmartTV;3449;235;0,06814;193;128
Cliente 1;26/06/2023;Programmatic;Desktop;13064;330;0,02526;250;159
Cliente 1;26/06/2023;Custom;Smartphone;17320;267;0,01542;223;158
Cliente 1;26/06/2023;Image;Smartphone;16299;43;0,00264;7;486
Cliente 1;26/06/2023;Third-party;SmartTV;16724;469;0,02804;458;20
Cliente 1;26/06/2023;Third-party;Tablet;39761;278;0,00699;239;369
Cliente 1;26/06/2023;Image;Desktop;48525;307;0,00633;62;48
Cliente 1;26/06/2023;Other;SmartTV;20885;153;0,00733;27;152
Cliente 1;26/06/2023;Programmatic;Smartphone;36038;271;0,00752;94;251
Cliente 1;26/06/2023;Custom;SmartTV;31531;111;0,00352;109;94
Cliente 1;26/06/2023;Video creative sets;Desktop;31237;318;0,01018;193;61
Cliente 1;26/06/2023;Custom;Smartphone;22027;421;0,01911;40;365
Cliente 1;26/06/2023;DoubleClick Rich Media;Tablet;2707;3;0,00111;1;78
Cliente 1;26/06/2023;DoubleClick Rich Media;Desktop;34494;310;0,00899;185;52
Cliente 1;26/06/2023;Video creative sets;Desktop;19874;167;0,00840;110;14
Cliente 1;26/06/2023;Custom template;Smartphone;40431;290;0,00717;174;158
Cliente 1;26/06/2023;Custom template;Desktop;47699;317;0,00665;239;262
Cliente 1;26/06/2023;Image;Desktop;512;468;0,91406;105;438
Cliente 1;26/06/2023;Third-party;Tablet;42927;401;0,00934;392;455
Cliente 1;26/06/2023;Other;SmartTV;46308;22;0,00048;3;265
Cliente 1;26/06/2023;Programmatic;Desktop;9608;293;0,03050;77;271
Cliente 1;26/06/2023;Custom;Tablet;20335;248;0,01220;208;485
Cliente 1;26/06/2023;Image;Desktop;36471;198;0,00543;52;263
Cliente 1;26/06/2023;Other;Desktop;47005;494;0,01051;196;252
Cliente 1;26/06/2023;DoubleClick Rich Media;SmartTV;1079;353;0,32715;290;127
Cliente 1;26/06/2023;Third-party;Smartphone;47060;458;0,00973;21;279
Cliente 1;26/06/2023;HTML5;Smartphone;41065;257;0,00626;201;476
Cliente 1;26/06/2023;Programmatic;Desktop;9781;32;0,00327;8;261
Cliente 1;26/06/2023;Other;SmartTV;4065;247;0,06076;130;78
Cliente 1;26/06/2023;Video creative sets;Tablet;21952;163;0,00743;37;461
Cliente 1;26/06/2023;Video creative sets;Smartphone;32428;310;0,00956;138;205
Cliente 1;26/06/2023;Custom template;Tablet;28353;253;0,00892;56;475
Cliente 1;26/06/2023;Image;SmartTV;36608;411;0,01123;49;229
Cliente 1;26/06/2023;Video creative sets;Desktop;8838;427;0,04831;75;317
Cliente 1;26/06/2023;Custom template;SmartTV;31959;388;0,01214;84;378
Cliente 1;26/06/2023;Video creative sets;Smartphone;37601;165;0,00439;97;440
Cliente 1;26/06/2023;Video creative sets;Tablet;17168;66;0,00384;22;370
Cliente 1;26/06/2023;DoubleClick Rich Media;Tablet;19828;325;0,01639;121;334
Cliente 1;26/06/2023;Other;SmartTV;45791;18;0,00039;10;439
Cliente 1;26/06/2023;DoubleClick Rich Media;Tablet;37569;74;0,00197;46;202
Cliente 1;26/06/2023;Custom template;Smartphone;34986;238;0,00680;55;316
Cliente 1;26/06/2023;Custom template;Desktop;19079;485;0,02542;61;385
Cliente 1;26/06/2023;Custom;Desktop;1445;182;0,12595;171;73
Cliente 1;26/06/2023;Other;SmartTV;4111;286;0,06957;142;401
Cliente 1;26/06/2023;Programmatic;Desktop;8583;391;0,04556;222;174
Cliente 1;26/06/2023;Custom;Desktop;31582;388;0,01229;113;355
Cliente 1;26/06/2023;Custom template;SmartTV;3700;38;0,01027;5;407
Cliente 1;26/06/2023;Third-party;Desktop;31892;257;0,00806;242;79
Cliente 1;26/06/2023;Programmatic;Smartphone;27363;59;0,00216;38;116
Cliente 1;26/06/2023;Third-party;SmartTV;38554;47;0,00122;15;332
Cliente 1;26/06/2023;Image;Desktop;7482;10;0,00134;8;393
Cliente 1;26/06/2023;HTML5;SmartTV;48287;417;0,00864;357;408
Cliente 1;26/06/2023;Third-party;SmartTV;41962;397;0,00946;47;316
Cliente 1;26/06/2023;Other;Desktop;47437;247;0,00521;123;321
Cliente 1;26/06/2023;Image;Smartphone;42105;243;0,00577;157;439
Cliente 1;26/06/2023;Other;Desktop;21735;46;0,00212;16;162
Cliente 1;26/06/2023;Image;SmartTV;14553;347;0,02384;180;163
Cliente 1;26/06/2023;DoubleClick Rich Media;Desktop;25431;164;0,00645;9;243
Cliente 1;26/06/2023;Video creative sets;Desktop;9901;354;0,03575;125;133
Cliente 1;26/06/2023;Other;Smartphone;31913;367;0,01150;280;81
Cliente 1;26/06/2023;Programmatic;Desktop;35431;142;0,00401;46;217
Cliente 1;26/06/2023;DoubleClick Rich Media;SmartTV;40098;201;0,00501;185;287
Cliente 1;26/06/2023;Third-party;Desktop;18806;82;0,00436;54;417
Cliente 1;26/06/2023;Image;Smartphone;22569;437;0,01936;371;70
Cliente 1;26/06/2023;Programmatic;Tablet;48358;304;0,00629;272;130
Cliente 1;26/06/2023;Other;SmartTV;13600;229;0,01684;52;169
Cliente 1;26/06/2023;HTML5;SmartTV;13004;357;0,02745;120;416
Cliente 1;26/06/2023;HTML5;Tablet;39043;376;0,00963;46;78
Cliente 1;26/06/2023;HTML5;Tablet;19166;445;0,02322;201;8
Cliente 1;26/06/2023;HTML5;SmartTV;32701;321;0,00982;207;346
Cliente 1;26/06/2023;Other;Tablet;22015;98;0,00445;40;430
Cliente 1;26/06/2023;Image;Smartphone;13308;229;0,01721;130;394
Cliente 1;26/06/2023;Third-party;SmartTV;33257;438;0,01317;227;425
Cliente 1;26/06/2023;Image;Desktop;43791;14;0,00032;13;25
Cliente 1;26/06/2023;Custom template;SmartTV;6674;159;0,02382;145;390
Cliente 1;26/06/2023;Custom template;SmartTV;26086;275;0,01054;211;288
Cliente 1;27/06/2023;Custom template;Desktop;5945;155;0,02607;110;195
Cliente 1;27/06/2023;Custom template;Tablet;16285;351;0,02155;103;353
Cliente 1;27/06/2023;Custom template;SmartTV;10381;16;0,00154;7;235
Cliente 1;27/06/2023;Programmatic;Desktop;37543;418;0,01113;152;110
Cliente 1;27/06/2023;Third-party;Desktop;38145;99;0,00260;23;301
Cliente 1;27/06/2023;Video creative sets;Desktop;38362;131;0,00341;2;165
Cliente 1;27/06/2023;Image;Tablet;47911;315;0,00657;231;394
Cliente 1;27/06/2023;Other;Smartphone;10601;5;0,00047;1;450
Cliente 1;27/06/2023;DoubleClick Rich Media;Smartphone;44179;453;0,01025;157;146
Cliente 1;27/06/2023;Custom;Tablet;49381;200;0,00405;181;138
Cliente 1;27/06/2023;Programmatic;Desktop;37967;42;0,00111;34;476
Cliente 1;27/06/2023;Custom;Tablet;7938;183;0,02305;86;474
Cliente 1;27/06/2023;DoubleClick Rich Media;Tablet;10515;160;0,01522;6;122
Cliente 1;27/06/2023;Image;Smartphone;23027;251;0,01090;104;201
Cliente 1;27/06/2023;HTML5;Smartphone;858;450;0,52448;26;346
